benchmark,suite,compiler,iteration,wall_s,time_wall_s,user_s,sys_s,rss_kb,object_bytes
matmul_i32,embench_style,YSX,0,0.014495054,0.010000,0.000000,0.000000,56952,1392
matmul_i32,embench_style,YSX,1,0.012409612,0.010000,0.010000,0.000000,57080,1392
matmul_i32,embench_style,YSX,2,0.012705083,0.010000,0.010000,0.000000,56948,1392
matmul_i32,embench_style,YSX,3,0.012273307,0.010000,0.000000,0.010000,57208,1392
matmul_i32,embench_style,YSX,4,0.012399563,0.010000,0.010000,0.000000,57844,1392
matmul_i32,embench_style,YSX,5,0.012130293,0.010000,0.010000,0.000000,57720,1392
matmul_i32,embench_style,YSX,6,0.012304906,0.010000,0.010000,0.000000,56956,1392
matmul_i32,embench_style,YSX,7,0.012936315,0.010000,0.000000,0.010000,56952,1392
matmul_i32,embench_style,YSX,8,0.012297657,0.010000,0.010000,0.000000,56820,1392
matmul_i32,embench_style,YSX,9,0.012460270,0.010000,0.010000,0.000000,56824,1392
matmul_i32,embench_style,YSX,10,0.012991549,0.010000,0.010000,0.000000,57084,1392
matmul_i32,embench_style,YSX,11,0.012570229,0.010000,0.010000,0.000000,56952,1392
matmul_i32,embench_style,YSX,12,0.012938545,0.010000,0.010000,0.000000,56952,1392
matmul_i32,embench_style,YSX,13,0.012703606,0.010000,0.010000,0.000000,57076,1392
matmul_i32,embench_style,YSX,14,0.012912849,0.010000,0.000000,0.010000,56820,1392
matmul_i32,embench_style,YSX,15,0.013238105,0.010000,0.000000,0.010000,57080,1392
matmul_i32,embench_style,YSX,16,0.012627958,0.010000,0.010000,0.000000,57080,1392
matmul_i32,embench_style,YSX,17,0.013226257,0.010000,0.000000,0.010000,57464,1392
matmul_i32,embench_style,YSX,18,0.012591878,0.010000,0.010000,0.000000,56824,1392
matmul_i32,embench_style,YSX,19,0.013364240,0.010000,0.010000,0.000000,57576,1392
matmul_i32,embench_style,YSX,20,0.012803260,0.010000,0.000000,0.010000,57336,1392
matmul_i32,embench_style,YSX,21,0.012968394,0.010000,0.000000,0.000000,57204,1392
matmul_i32,embench_style,YSX,22,0.014952754,0.010000,0.010000,0.000000,56740,1392
matmul_i32,embench_style,YSX,23,0.012701275,0.010000,0.010000,0.000000,56948,1392
matmul_i32,embench_style,YSX,24,0.012495205,0.010000,0.000000,0.010000,57212,1392
matmul_i32,embench_style,YSX,25,0.012890139,0.010000,0.010000,0.000000,56820,1392
matmul_i32,embench_style,YSX,26,0.013196992,0.010000,0.000000,0.000000,57464,1392
matmul_i32,embench_style,YSX,27,0.013426837,0.010000,0.000000,0.000000,57460,1392
matmul_i32,embench_style,YSX,28,0.013026324,0.010000,0.010000,0.000000,56824,1392
matmul_i32,embench_style,YSX,29,0.013222156,0.010000,0.000000,0.010000,57596,1392
matmul_i32,embench_style,RISCV,0,0.014631899,0.010000,0.010000,0.000000,61044,1392
matmul_i32,embench_style,RISCV,1,0.014438743,0.010000,0.010000,0.000000,60532,1392
matmul_i32,embench_style,RISCV,2,0.014310005,0.010000,0.010000,0.000000,60404,1392
matmul_i32,embench_style,RISCV,3,0.014238243,0.010000,0.010000,0.000000,60532,1392
matmul_i32,embench_style,RISCV,4,0.014260944,0.010000,0.010000,0.000000,61040,1392
matmul_i32,embench_style,RISCV,5,0.015276212,0.010000,0.010000,0.000000,60144,1392
matmul_i32,embench_style,RISCV,6,0.015885691,0.010000,0.010000,0.000000,60540,1392
matmul_i32,embench_style,RISCV,7,0.014742042,0.010000,0.010000,0.000000,60400,1392
matmul_i32,embench_style,RISCV,8,0.014529436,0.010000,0.000000,0.010000,60412,1392
matmul_i32,embench_style,RISCV,9,0.014102626,0.010000,0.010000,0.000000,60400,1392
matmul_i32,embench_style,RISCV,10,0.014442946,0.010000,0.000000,0.000000,61044,1392
matmul_i32,embench_style,RISCV,11,0.014179543,0.010000,0.000000,0.000000,61040,1392
matmul_i32,embench_style,RISCV,12,0.015219660,0.010000,0.000000,0.000000,61024,1392
matmul_i32,embench_style,RISCV,13,0.014096406,0.010000,0.010000,0.000000,60016,1392
matmul_i32,embench_style,RISCV,14,0.015061715,0.010000,0.000000,0.000000,60916,1392
matmul_i32,embench_style,RISCV,15,0.014664889,0.010000,0.010000,0.000000,60524,1392
matmul_i32,embench_style,RISCV,16,0.014032925,0.010000,0.000000,0.000000,60912,1392
matmul_i32,embench_style,RISCV,17,0.014394756,0.010000,0.010000,0.000000,60908,1392
matmul_i32,embench_style,RISCV,18,0.014078848,0.010000,0.010000,0.000000,61040,1392
matmul_i32,embench_style,RISCV,19,0.014575417,0.010000,0.010000,0.000000,60276,1392
matmul_i32,embench_style,RISCV,20,0.014363172,0.010000,0.010000,0.000000,60664,1392
matmul_i32,embench_style,RISCV,21,0.015097490,0.010000,0.000000,0.000000,60000,1392
matmul_i32,embench_style,RISCV,22,0.014054862,0.010000,0.000000,0.010000,60916,1392
matmul_i32,embench_style,RISCV,23,0.014429923,0.010000,0.000000,0.010000,60528,1392
matmul_i32,embench_style,RISCV,24,0.014368856,0.010000,0.010000,0.000000,60924,1392
